Title,BSR,Price in £ (starting from),Author,ASIN,ISBN-10,ISBN-13,URL
Harry Potter Hardback Boxed Set (Signature Edition),"229,654",100.70,J.K. Rowling,1408825945, 1408825945, 978-1408825945,https://www.amazon.co.uk/Harry-Potter-Hardback-Boxed-Signature/dp/1408825945/ref=sr_1_1/262-9303092-5872127?s=books&ie=UTF8&qid=1540478484&sr=1-1&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Fusarium: Genomics, Molecular and Cellular Biology","349,191",121.61,D. W. Brown,1908230258, 1908230258, 978-1908230256,https://www.amazon.co.uk/Fusarium-Genomics-Molecular-Cellular-Biology/dp/1908230258/ref=sr_1_48?s=books&ie=UTF8&qid=1540478515&sr=1-48&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
The Complete History of Middle-earth (Deluxe Boxed Set),"63,023",282.24,Christopher Tolkien,0008259844, 0008259844, 978-0008259846,https://www.amazon.co.uk/Complete-History-Middle-earth-Deluxe-Boxed/dp/0008259844/ref=sr_1_64?s=books&ie=UTF8&qid=1540478533&sr=1-64&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Competition Damages Actions in the Eu: Law and Practice: Law and Practice, Second Edition (Elgar Competition Law and Practice Series)","289,471",105.86,David Ashton,1786430738, 1786430738, 978-1786430731,https://www.amazon.co.uk/Competition-Damages-Actions-Eu-Practice/dp/1786430738/ref=sr_1_80?s=books&ie=UTF8&qid=1540478551&sr=1-80&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
The Cambridge History of Ireland 4 Volume Hardback Set,"297,155",274.65,Thomas Bartlett,1107167299, 9781107167292, 978-1107167292,https://www.amazon.co.uk/Cambridge-History-Ireland-Hardback-Set/dp/1107167299/ref=sr_1_96?s=books&ie=UTF8&qid=1540478568&sr=1-96&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Fluids, Colloids, and Soft Materials: An Introduction to Soft Matter Physics (Wiley Series on Surface and Interfacial Chemistry)","484,056",102.39,Alberto Fernandez-Nieves,111806562X, 111806562X, 978-1118065624,https://www.amazon.co.uk/Fluids-Colloids-Soft-Materials-Introduction/dp/111806562X/ref=sr_1_192?s=books&ie=UTF8&qid=1540478673&sr=1-192&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Rosai and Ackerman's Surgical Pathology - 2 Volume Set, 11e","285,810",170.81,John R. Goldblum MD  FCAP  FASCP  FACG,0323263399, 9780323263399, 978-0323263399,https://www.amazon.co.uk/Rosai-Ackermans-Surgical-Pathology-Set/dp/0323263399/ref=sr_1_208?s=books&ie=UTF8&qid=1540478688&sr=1-208&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Construction métallique : Notions fondamentales et méthodes de dimensionnement,"249,698",245.00,Manfred A. Hirt,2880746469, 2880746469, 978-2880746469,https://www.amazon.co.uk/Construction-m%C3%A9tallique-fondamentales-m%C3%A9thodes-dimensionnement/dp/2880746469/ref=sr_1_240?s=books&ie=UTF8&qid=1540478716&sr=1-240&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Parliamentary Practice,"559,181",216.20,Thomas Erskine May,0406291020, 0406291020, 978-0406291028,https://www.amazon.co.uk/Parliamentary-Practice-Thomas-Erskine-May/dp/0406291020/ref=sr_1_256?s=books&ie=UTF8&qid=1540478733&sr=1-256&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
The Selected Writings of Andrew Lang (The Pickering Masters),"251,562",538.39,Tom Hubbard,1848931484, 1848931484, 978-1848931480,https://www.amazon.co.uk/Selected-Writings-Andrew-Pickering-Masters/dp/1848931484/ref=sr_1_288?s=books&ie=UTF8&qid=1540478761&sr=1-288&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
