Title,BSR,Price in £ (starting from),Author,Book Type,ASIN,ISBN-10,ISBN-13,URL
The Complete Hebrew-English Dictionary,"4,638,327","2,027.99",Reuben Alcalay,Hardcover,9654481855, 9654481855, 978-9654481854,https://www.amazon.co.uk/Complete-Hebrew-English-Dictionary-Reuben-Alcalay/dp/9654481855/ref=sr_1_1/262-3364196-8420630?s=books&ie=UTF8&qid=1540747816&sr=1-1&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Farming (Geography Detective Investigates),"1,503,539","2,309.99",Jen Green,Hardcover,0750262621, 0750262621, 978-0750262620,https://www.amazon.co.uk/Farming-Geography-Detective-Investigates-Green/dp/0750262621/ref=sr_1_32?s=books&ie=UTF8&qid=1540747829&sr=1-32&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Piranesi,"8,560,120","2,416.99",Luigi Ficacci,Hardcover,3822850934, 3822850934, 978-3822850930,https://www.amazon.co.uk/Piranesi-Luigi-Ficacci/dp/3822850934/ref=sr_1_176?s=books&ie=UTF8&qid=1540747976&sr=1-176&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Barbapapa's New House,"7,096,699","2,422.99","Annette; Taylor, Talus Tison",Hardcover,0529050439, 0529050439, 978-0529050434,https://www.amazon.co.uk/Barbapapas-House-Annette-Taylor-Talus/dp/0529050439/ref=sr_1_272?s=books&ie=UTF8&qid=1540748088&sr=1-272&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
The Feisty Fiancee (Romance),"6,902,133","2,000.00",Jessica Steele,Hardcover,0263166902, 0263166902, 978-0263166903,https://www.amazon.co.uk/Feisty-Fiancee-Romance-Jessica-Steele/dp/0263166902/ref=sr_1_304?s=books&ie=UTF8&qid=1540748121&sr=1-304&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
"Le Corbusier, Pierre Jeanneret: The Indian Story","1,892,551","2,209.14",Eric Touchaleaume,Hardcover,235340099X, 235340099X, 978-2353400997,https://www.amazon.co.uk/Corbusier-Pierre-Jeanneret-Indian-Story/dp/235340099X/ref=sr_1_352?s=books&ie=UTF8&qid=1540748164&sr=1-352&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
"The Encyclopaedia of Egypt During the Reign of the Mehemet Ali Dynasty 1798-1952 - The People, Places and Events That Shaped Nineteenth Century Egypt","2,743,642","2,148.00",Patrick Richard Carstens,Hardcover,146024897X, 146024897X, 978-1460248973,https://www.amazon.co.uk/Encyclopaedia-During-Mehemet-Dynasty-1798-1952/dp/146024897X/ref=sr_1_368?s=books&ie=UTF8&qid=1540748183&sr=1-368&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
"PAF, Platelets, and Asthma (Agents and Actions Supplements)","5,697,986","2,244.08",M. Schmitz-Schumann,Hardcover,3764318066, 3764318066, 978-3764318062,https://www.amazon.co.uk/Platelets-Asthma-Agents-Actions-Supplements/dp/3764318066/ref=sr_1_1040?s=books&ie=UTF8&qid=1540748880&sr=1-1040&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Un jour nous construirons les pyramides: Mobilier funeraire predynastique et pharaonique,"6,370,256","2,244.99",Unnamed,Hardcover,2881040217, 2881040217, 978-2881040214,https://www.amazon.co.uk/jour-nous-construirons-pyramides-predynastique/dp/2881040217/ref=sr_1_1136?s=books&ie=UTF8&qid=1540748976&sr=1-1136&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Discrete Mathematics for Computer Science (Mathematics Across the Curriculum),"5,019,363","2,011.99",Kenneth Bogart,Hardcover,1930190867, 1930190867, 978-1930190863,https://www.amazon.co.uk/Discrete-Mathematics-Computer-Science-Curriculum/dp/1930190867/ref=sr_1_1168?s=books&ie=UTF8&qid=1540749015&sr=1-1168&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Waterlow's Solicitors' and Barristers' Directory 2012 (2012 Directory),"4,779,262","2,101.14",Unnamed,Hardcover,1857831799, 1857831799, 978-1857831795,https://www.amazon.co.uk/Waterlows-Solicitors-Barristers-Directory-2012/dp/1857831799/ref=sr_1_1192?s=books&ie=UTF8&qid=1540749044&sr=1-1192&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
An Introduction To Japanese Philatelic Terms,"7,924,482","2,006.99",Charles A L Swenson,Hardcover,1886343055, 1886343055, 978-1886343054,https://www.amazon.co.uk/Introduction-Japanese-Philatelic-Terms/dp/1886343055/ref=sr_1_1182?s=books&ie=UTF8&qid=1540749030&sr=1-1182&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Neoplasms with Follicular Differentiation: Ackerman's Histological Diagnosis of Neoplastic Skin Diseases: A Method of Pattern Analysis (Ackerman's Histologic Diagnosis of Neoplastic Skin Diseases),"4,763,764","2,014.30",A. Bernard Ackerman,Hardcover,1893357112, 1893357112, 978-1893357112,https://www.amazon.co.uk/Neoplasms-Follicular-Differentiation-Histological-Neoplastic/dp/1893357112/ref=sr_1_1178?s=books&ie=UTF8&qid=1540749030&sr=1-1178&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
James Paget University Hospital: The First 25 Years,"6,100,556","2,010.99",Hugh Sturzaker,Hardcover,1905553250, 1905553250, 978-1905553259,https://www.amazon.co.uk/James-Paget-University-Hospital-First/dp/1905553250/ref=sr_1_1172?s=books&ie=UTF8&qid=1540749030&sr=1-1172&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
Brushless Permanent Magnet Motor Design,"7,919,201","2,011.99",Duane C. Hanselman,Hardcover,1932133631, 1932133631, 978-1932133639,https://www.amazon.co.uk/Brushless-Permanent-Magnet-Motor-Design/dp/1932133631/ref=sr_1_1166?s=books&ie=UTF8&qid=1540749015&sr=1-1166&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
"Shaping the Middle East: Jews, Christians, and Muslims in an Age of Transition 400-800 C.E. (The Joseph and Rebecca Meyerhoff Center for Jewish Studies)","4,708,274","2,434.99",Kenneth G. Holum,Hardcover,1934309311, 1934309311, 978-1934309315,https://www.amazon.co.uk/Shaping-Middle-East-Christians-Transition/dp/1934309311/ref=sr_1_1160?s=books&ie=UTF8&qid=1540749015&sr=1-1160&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A200000-250000
