Title,BSR,Price in £ (starting from),Author,Book Type,ASIN,ISBN-10,ISBN-13,URL
Dungeons & Dragons Player's Handbook (Dungeons & Dragons Core Rulebooks),613,35.00,No Author Specified!!,Hardcover,0786965606, 0786965606, 978-0786965601,https://www.amazon.co.uk/Dungeons-Dragons-Players-Handbook-Rulebooks/dp/0786965606/ref=sr_1_1/258-3646441-1226151?s=books&ie=UTF8&qid=1540569677&sr=1-1&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
The Times Comprehensive Atlas of the World,"30,732",76.70,Times Atlases,Hardcover,0008293384, 0008293384, 978-0008293383,https://www.amazon.co.uk/Times-Comprehensive-Atlas-World/dp/0008293384/ref=sr_1_64?s=books&ie=UTF8&qid=1540569725&sr=1-64&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
Enforcing Exclusion: Precarious Migrants and the Law in Canada (Law and Society),"297,818",56.93,Sarah Grayce Marsden,Hardcover,077483773X, 077483773X, 978-0774837736,https://www.amazon.co.uk/Enforcing-Exclusion-Precarious-Migrants-Society/dp/077483773X/ref=sr_1_80?s=books&ie=UTF8&qid=1540569741&sr=1-80&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
Trading in the Zone,"28,603",31.99,Mark Douglas,Hardcover,0735201447, 9780735201446, 978-0735201446,https://www.amazon.co.uk/Trading-Zone-Mark-Douglas/dp/0735201447/ref=sr_1_96?s=books&ie=UTF8&qid=1540569759&sr=1-96&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
"Collins Robert French Dictionary Complete and Unabridged edition: 500,000 translations (Collins Dictionaries)","69,745",83.03,Collins Dictionaries,Hardcover,0007556527, 0007556527, 978-0007556526,https://www.amazon.co.uk/Collins-Robert-Dictionary-Complete-Unabridged/dp/0007556527/ref=sr_1_128?s=books&ie=UTF8&qid=1540569792&sr=1-128&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
Vertebrate Endocrinology,"203,402",49.32,David O. Norris,Hardcover,0123948150, 9780123948151, 978-0123948151,https://www.amazon.co.uk/Vertebrate-Endocrinology-David-Norris/dp/0123948150/ref=sr_1_160?s=books&ie=UTF8&qid=1540569831&sr=1-160&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
Principles of Cognitive Neuroscience,"170,823",63.86,Dale Purves,Hardcover,0878935738, 9780878935734, 978-0878935734,https://www.amazon.co.uk/Principles-Cognitive-Neuroscience-Dale-Purves/dp/0878935738/ref=sr_1_176?s=books&ie=UTF8&qid=1540569849&sr=1-176&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
Atlas of Intraoperative Frozen Section Diagnosis in Gynecologic Pathology,"266,875",56.21,Natalia Buza,Hardcover,3319218069, 3319218069, 978-3319218069,https://www.amazon.co.uk/Intraoperative-Section-Diagnosis-Gynecologic-Pathology/dp/3319218069/ref=sr_1_208?s=books&ie=UTF8&qid=1540569886&sr=1-208&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
Physics for Scientists and Engineers with Modern Physics,"74,420",67.10,Paul A. Tipler,Hardcover,1429202653, 1429202653, 978-1429202657,https://www.amazon.co.uk/Physics-Scientists-Engineers-Modern/dp/1429202653/ref=sr_1_224?s=books&ie=UTF8&qid=1540569904&sr=1-224&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
The Illusion of Life: Disney Animation (Disney Editions Deluxe),"67,533",39.89,Frank Thomas,Hardcover,0786860707, 0786860707, 978-0786860708,https://www.amazon.co.uk/Illusion-Life-Disney-Animation-Editions/dp/0786860707/ref=sr_1_240?s=books&ie=UTF8&qid=1540569921&sr=1-240&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
Magnum China,"9,174",58.73,Colin Pantall,Hardcover,0500544549, 9780500544549, 978-0500544549,https://www.amazon.co.uk/Magnum-China-Colin-Pantall/dp/0500544549/ref=sr_1_256?s=books&ie=UTF8&qid=1540569934&sr=1-256&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
Interior Surfaces and Materials: Materials for Interiors (In Detail (Birkhauser)),"200,093",49.99,Christian Schittich,Hardcover,3764388102, 3764388102, 978-3764388102,https://www.amazon.co.uk/Interior-Surfaces-Materials-Interiors-Birkhauser/dp/3764388102/ref=sr_1_272?s=books&ie=UTF8&qid=1540569951&sr=1-272&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
The Fall of Gondolin,"86,710",61.32,J. R. R. Tolkien,Hardcover,0008302766, 9780008302764, 978-0008302764,https://www.amazon.co.uk/Fall-Gondolin-J-R-Tolkien/dp/0008302766/ref=sr_1_288?s=books&ie=UTF8&qid=1540569970&sr=1-288&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
Introduction to Electrodynamics,"101,809",31.74,David J. Griffiths,Hardcover,1108420419, 1108420419, 978-1108420419,https://www.amazon.co.uk/Introduction-Electrodynamics-David-J-Griffiths/dp/1108420419/ref=sr_1_336?s=books&ie=UTF8&qid=1540570021&sr=1-336&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
Analytical Corporate Finance (Springer Texts in Business and Economics),"327,367",82.57,Angelo Corelli,Hardcover,3319957619, 3319957619, 978-3319957616,https://www.amazon.co.uk/Analytical-Corporate-Springer-Business-Economics/dp/3319957619/ref=sr_1_352?s=books&ie=UTF8&qid=1540570039&sr=1-352&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
Art Since 1900: Modernism · Antimodernism · Postmodernism,"61,396",31.95,Hal Foster,Hardcover,0500239533, 0500239533, 978-0500239537,https://www.amazon.co.uk/Art-Since-1900-Antimodernism-Postmodernism/dp/0500239533/ref=sr_1_400?s=books&ie=UTF8&qid=1540570090&sr=1-400&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
Microeconomics,"205,091",64.88,Chad Syverson,Hardcover,1319153968, 9781319153960, 978-1319153960,https://www.amazon.co.uk/Microeconomics-Austan-Goolsbee/dp/1319153968/ref=sr_1_464?s=books&ie=UTF8&qid=1540570159&sr=1-464&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
"Poetry, Media, and the Material Body: Autopoetics in Nineteenth-Century Britain (Cambridge Studies in Nineteenth-Century Literature and Culture)","280,000",49.88,Ashley Miller,Hardcover,1108418961, 1108418961, 978-1108418966,https://www.amazon.co.uk/Poetry-Media-Material-Body-Nineteenth-Century/dp/1108418961/ref=sr_1_512?s=books&ie=UTF8&qid=1540570211&sr=1-512&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
"Across the Threshold of India: Art, Women, and Culture","325,153",32.63,Martha A. Strawn,Hardcover,1938086171, 9781938086175, 978-1938086175,https://www.amazon.co.uk/Across-Threshold-India-Women-Culture/dp/1938086171/ref=sr_1_528?s=books&ie=UTF8&qid=1540570229&sr=1-528&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A3000-9900
