Title,BSR,Price in £ (starting from),Author,Book Type,ASIN,ISBN-10,ISBN-13,URL
The Mystery of the Blue Train Hercule Poirot's Christmas,"1,004,896",988.00,Agatha Christie,Hardcover,B003DKUO46,Not available,Not available,https://www.amazon.co.uk/Mystery-Train-Hercule-Poirots-Christmas/dp/B003DKUO46/ref=sr_1_272?s=books&ie=UTF8&qid=1540736683&sr=1-272&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Pleasure of ruins,"1,735,093",941.02,Rose Macaulay,Hardcover,B0000CN5D3,Not available,Not available,https://www.amazon.co.uk/Pleasure-ruins-Rose-Macaulay/dp/B0000CN5D3/ref=sr_1_672?s=books&ie=UTF8&qid=1540737104&sr=1-672&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Biochemistry of Exercise and Training (Oxford Medical Publications),"1,553,666",935.98,Ronald J. Maughan,Hardcover,0192627422, 0192627422, 978-0192627421,https://www.amazon.co.uk/Biochemistry-Exercise-Training-Medical-Publications/dp/0192627422/ref=sr_1_816?s=books&ie=UTF8&qid=1540737261&sr=1-816&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
"Enid Blyton's Malory Towers 6 Books Collection, 1 First Term at Malory Towers, 2 Second Form at Malory Towers , 3 Third Year at Malory Towers , 4 Upper Fourth at Malory Towers , 5 In the Fifth at Malory Towers , 6 Last Term at Malory Towers (Malory Towers)","1,013,766",768.98,No Author Specified!!,Hardcover,B0036FFK7O,Not available,Not available,https://www.amazon.co.uk/Blytons-Malory-Towers-Collection-Second/dp/B0036FFK7O/ref=sr_1_1174?s=books&ie=UTF8&qid=1540737651&sr=1-1174&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Ten Guineas On Love (Regency Lords and Ladies LP),"1,752,647",768.43,Claire Thornton,Hardcover,026321043X, 026321043X, 978-0263210439,https://www.amazon.co.uk/Guineas-Love-Regency-Lords-Ladies/dp/026321043X/ref=sr_1_1165?s=books&ie=UTF8&qid=1540737632&sr=1-1165&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
At the Margin of Safety: Going Beyond Financial Myth-making to Find Real Investment Value,"1,461,468",899.99,Seth A. Klarman,Hardcover,0887305105, 0887305105, 978-0887305108,https://www.amazon.co.uk/Margin-Safety-Financial-Myth-making-Investment/dp/0887305105/ref=sr_1_1150?s=books&ie=UTF8&qid=1540737616&sr=1-1150&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Full-Scale Fatigue Testing of Aircraft Structures,"345,591",885.36,"F J & Schijve, J Plantema",Hardcover,B000M48FDS,Not available,Not available,https://www.amazon.co.uk/Full-Scale-Fatigue-Testing-Aircraft-Structures/dp/B000M48FDS/ref=sr_1_1111?s=books&ie=UTF8&qid=1540737584&sr=1-1111&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
The Vikings Introduction by Magnus Magnusson.,"1,562,591",990.06,Gwyn JONES,Hardcover,B001OWWA2Y,Not available,Not available,https://www.amazon.co.uk/Vikings-Introduction-Magnus-Magnusson/dp/B001OWWA2Y/ref=sr_1_1070?s=books&ie=UTF8&qid=1540737537&sr=1-1070&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Middlesex (Buildings of England series;no.3),"1,429,410",994.11,Nikolaus Pevsner,Hardcover,B0000CI1UW,Not available,Not available,https://www.amazon.co.uk/Middlesex-Buildings-England-Nikolaus-Pevsner/dp/B0000CI1UW/ref=sr_1_1004?s=books&ie=UTF8&qid=1540737471&sr=1-1004&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Valerie French,"1,910,026",883.59,Dornford Yates,Hardcover,B000QC60QK,Not available,Not available,https://www.amazon.co.uk/Valerie-French-Dornford-Yates/dp/B000QC60QK/ref=sr_1_997?s=books&ie=UTF8&qid=1540737471&sr=1-997&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Dottie’s Diary: The Curious Incident of a Royal Bull Terrier,"963,320",849.06,Emma Sergeant,Hardcover,0007197470, 0007197470, 978-0007197477,https://www.amazon.co.uk/Dotties-Diary-Curious-Incident-Terrier/dp/0007197470/ref=sr_1_972?s=books&ie=UTF8&qid=1540737435&sr=1-972&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Parkinson's Law of the Pursuit of Progress,"1,554,641",950.00,C. Northcote Parkinson,Hardcover,B000S8HVLU,Not available,Not available,https://www.amazon.co.uk/Parkinsons-Pursuit-Progress-Northcote-Parkinson/dp/B000S8HVLU/ref=sr_1_970?s=books&ie=UTF8&qid=1540737435&sr=1-970&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
Barbie in the Pink Shoes Snowglobe,"1,861,201",997.85,Mattel Inc.,Hardcover,1743463820, 1743463820, 978-1743463826,https://www.amazon.co.uk/Barbie-Pink-Shoes-Snowglobe-Mattel/dp/1743463820/ref=sr_1_915?s=books&ie=UTF8&qid=1540737385&sr=1-915&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A75000-99800
