Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL
European Union Collective,"1,391,647","2,626.99",Christopher Story,Paperback,1899798013, 1899798013, 978-1899798018,https://www.amazon.co.uk/European-Union-Collective-Christopher-Story/dp/1899798013/ref=sr_1_1/257-5437517-9150638?s=books&ie=UTF8&qid=1540557631&sr=1-1&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Playing for Celtic: No. 17,"850,428","2,965.99",Rodger Baillie,Paperback,0091623111, 0091623111, 978-0091623111,https://www.amazon.co.uk/Playing-Celtic-No-Rodger-Baillie/dp/0091623111/ref=sr_1_48?s=books&ie=UTF8&qid=1540557663&sr=1-48&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
"How to Make, Mount and Repair Fishing Nets","2,036,346","2,084.99",Siegfried R. Becker,Paperback,3732284867, 3732284867, 978-3732284863,https://www.amazon.co.uk/Make-Mount-Repair-Fishing-Nets/dp/3732284867/ref=sr_1_160?s=books&ie=UTF8&qid=1540557771&sr=1-160&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Deceived by Magic: Volume 6 (The Baine Chronicles),"1,998,270","2,000.00",Jasmine Walt,Paperback,1542392225, 1542392225, 978-1542392228,https://www.amazon.co.uk/Deceived-Magic-6-Baine-Chronicles/dp/1542392225/ref=sr_1_208?s=books&ie=UTF8&qid=1540557820&sr=1-208&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Willy and the Wobbly House: Storybook (Storybooks for troubled children),"2,867,271","2,164.69",Margot Sunderland,Paperback,0863883001, 0863883001, 978-0863883002,https://www.amazon.co.uk/Willy-Wobbly-House-Storybook-Storybooks/dp/0863883001/ref=sr_1_224?s=books&ie=UTF8&qid=1540557837&sr=1-224&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
"Staradigm: A Blueprint for Spiritual Growth, Happiness, Success and Well-Being","2,034,493","2,429.07",Pao L. Chang,Paperback,1460949781, 1460949781, 978-1460949788,https://www.amazon.co.uk/Staradigm-Blueprint-Spiritual-Happiness-Well-Being/dp/1460949781/ref=sr_1_704?s=books&ie=UTF8&qid=1540558354&sr=1-704&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
fuzzbuzz: Level 2: fuzzbuzz facts: Looking at Books: A Remedial Reading Scheme: Facts Level 2,"2,952,727","2,938.99",Colin Harris,Paperback,0198381328, 0198381328, 978-0198381327,https://www.amazon.co.uk/fuzzbuzz-Looking-Remedial-Reading-Scheme/dp/0198381328/ref=sr_1_748?s=books&ie=UTF8&qid=1540558404&sr=1-748&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Montgomeryshire Past and Present from the Air,"2,544,822","2,685.99",Chris Musson,Paperback,095411390X, 095411390X, 978-0954113902,https://www.amazon.co.uk/Montgomeryshire-Past-Present-Chris-Musson/dp/095411390X/ref=sr_1_738?s=books&ie=UTF8&qid=1540558404&sr=1-738&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Fisher and Lightwood's Law of Mortgage,"2,624,085","2,433.99",Paul Morgan,Paperback,1405748079, 1405748079, 978-1405748070,https://www.amazon.co.uk/Fisher-Lightwoods-Mortgage-Paul-Morgan/dp/1405748079/ref=sr_1_734?s=books&ie=UTF8&qid=1540558384&sr=1-734&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
"The Deviant Grimoire: Real Witchcraft, Real Results, You've Been Warned","2,454,022","2,961.99",Michael Blackthorn,Paperback,1511966114, 1511966114, 978-1511966115,https://www.amazon.co.uk/Deviant-Grimoire-Witchcraft-Results-Warned/dp/1511966114/ref=sr_1_728?s=books&ie=UTF8&qid=1540558384&sr=1-728&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Dark Souls III Unofficial Game Guide,"2,734,961","2,862.99",The Yuw,Paperback,1539665119, 1539665119, 978-1539665113,https://www.amazon.co.uk/Dark-Souls-Unofficial-Game-Guide/dp/1539665119/ref=sr_1_726?s=books&ie=UTF8&qid=1540558384&sr=1-726&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
"Financial Modelling for Project Finance, 2nd Edition","2,829,283","2,420.99",Penny Lynch,Paperback,1843745488, 1843745488, 978-1843745488,https://www.amazon.co.uk/Financial-Modelling-Project-Finance-2nd/dp/1843745488/ref=sr_1_719?s=books&ie=UTF8&qid=1540558367&sr=1-719&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Le Parole Sono Pietre,"2,805,297","2,751.99",Carlo Levi,Paperback,8806200550, 8806200550, 978-8806200558,https://www.amazon.co.uk/Parole-Sono-Pietre-Carlo-Levi/dp/8806200550/ref=sr_1_713?s=books&ie=UTF8&qid=1540558367&sr=1-713&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
No Stop City: Archizoom Associati,"2,322,785","2,336.99",Andrea Branzi,Paperback,2910385396, 2910385396, 978-2910385392,https://www.amazon.co.uk/No-Stop-City-Archizoom-Associati/dp/2910385396/ref=sr_1_710?s=books&ie=UTF8&qid=1540558367&sr=1-710&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Sam's Big Secret,"2,114,154","2,746.99",Stephanie Margolese,Paperback,0981055605, 0981055605, 978-0981055602,https://www.amazon.co.uk/Sams-Big-Secret-Stephanie-Margolese/dp/0981055605/ref=sr_1_706?s=books&ie=UTF8&qid=1540558367&sr=1-706&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
The Picatrix,"2,214,322","2,373.99",Steven Ashe,Paperback,1446174751, 1446174751, 978-1446174753,https://www.amazon.co.uk/Picatrix-Steven-Ashe/dp/1446174751/ref=sr_1_705?s=books&ie=UTF8&qid=1540558367&sr=1-705&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Jogo do Pau: The ancient art & modern science of Portuguese stick fighting,"2,071,178","2,419.99",MSc Luis Preto,Paperback,1480228141, 1480228141, 978-1480228146,https://www.amazon.co.uk/Jogo-Pau-ancient-Portuguese-fighting/dp/1480228141/ref=sr_1_703?s=books&ie=UTF8&qid=1540558354&sr=1-703&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Forced Submission,"1,793,290","2,000.00",Claire Thompson,Paperback,1490936556, 1490936556, 978-1490936550,https://www.amazon.co.uk/Forced-Submission-Claire-Thompson/dp/1490936556/ref=sr_1_696?s=books&ie=UTF8&qid=1540558354&sr=1-696&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Shadow War: The CIA's Secret War In Laos,"1,600,071","2,013.99",Kenneth Conboy,Paperback,1581605358, 1581605358, 978-1581605358,https://www.amazon.co.uk/Shadow-War-CIAs-Secret-Laos/dp/1581605358/ref=sr_1_690?s=books&ie=UTF8&qid=1540558354&sr=1-690&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
