Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL,
THE MUSIC OF RALPH VAUGHAN WILLIAMS,"728,928",789.97,FRANK HOWES,Paperback,1179424506,1179424506,978-1179424507,https://www.amazon.co.uk/MUSIC-RALPH-VAUGHAN-WILLIAMS/dp/1179424506/ref=sr_1_224?s=books&ie=UTF8&qid=1540736546&sr=1-224&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
"From the City, From the Plough by Alexander Baron (2010)","776,181",781.24,No Author Specified!!,Paperback,B00CF66W0Y,Not available,Not available,https://www.amazon.co.uk/City-Plough-Alexander-Baron/dp/B00CF66W0Y/ref=sr_1_304?s=books&ie=UTF8&qid=1540736633&sr=1-304&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
"Masters of Science Fiction, Vol. One: Bryce Walton by Bryce Walton (2011-01-03)","1,395,048",850.39,No Author Specified!!,Paperback,B01A0CVJPC,Not available,Not available,https://www.amazon.co.uk/Masters-Science-Fiction-Vol-One/dp/B01A0CVJPC/ref=sr_1_480?s=books&ie=UTF8&qid=1540736819&sr=1-480&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Love Lessons: A Wartime Diary (Flamingo),"696,876",793.34,Joan Wyndham,Paperback,000654164X,000654164X,978-0006541646,https://www.amazon.co.uk/Love-Lessons-Wartime-Diary-Flamingo/dp/000654164X/ref=sr_1_496?s=books&ie=UTF8&qid=1540736834&sr=1-496&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
"Basics of Retaining Wall Design, 10th Edition","1,296,707",972.29,Mr Hugh Brooks,Paperback,976836491,976836491,978-0976836490,https://www.amazon.co.uk/Basics-Retaining-Wall-Design-10th/dp/0976836491/ref=sr_1_1194?s=books&ie=UTF8&qid=1540737586&sr=1-1194&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
"Leonora Carrington: Paintings, Drawings and Sculpture, 1940-1990","1,589,064",997.2,Andrea Schlieker,Paperback,1870814363,1870814363,978-1870814362,https://www.amazon.co.uk/Leonora-Carrington-Paintings-Sculpture-1940-1990/dp/1870814363/ref=sr_1_1187?s=books&ie=UTF8&qid=1540737586&sr=1-1187&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Industrial Relations Systems (Harvard Business School Press Classics),"1,069,777",922.55,John T. Dunlop,Paperback,875843344,875843344,978-0875843346,https://www.amazon.co.uk/Industrial-Relations-Systems-Business-Classics/dp/0875843344/ref=sr_1_1175?s=books&ie=UTF8&qid=1540737573&sr=1-1175&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Montacute House Somerset,"1,504,785",994.24,National Trust,Paperback,B001JH03E6,Not available,Not available,https://www.amazon.co.uk/Montacute-House-Somerset-National-Trust/dp/B001JH03E6/ref=sr_1_1092?s=books&ie=UTF8&qid=1540737488&sr=1-1092&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
WHAT WOULD YOU DO? Reading 360 The Ginn Reading Programme: Magic Circle Bks Level 7,"1,113,722",773.19,Theodore Clymer,Paperback,602240557,602240557,978-0602240554,https://www.amazon.co.uk/WHAT-WOULD-Reading-Ginn-Programme/dp/0602240557/ref=sr_1_1091?s=books&ie=UTF8&qid=1540737488&sr=1-1091&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Womans Weekly Cook Book Over 300 Recipes,"1,443,037",990.92,Womans Weekly,Paperback,B0016CZ80I,Not available,Not available,https://www.amazon.co.uk/Womans-Weekly-Cook-Book-Recipes/dp/B0016CZ80I/ref=sr_1_1084?s=books&ie=UTF8&qid=1540737469&sr=1-1084&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
The Fourth Year Are Animals (Act Now),"1,334,669",964.78,Richard Tulloch,Paperback,521349346,521349346,978-0521349345,https://www.amazon.co.uk/Fourth-Year-Are-Animals-Act/dp/0521349346/ref=sr_1_1081?s=books&ie=UTF8&qid=1540737469&sr=1-1081&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
The Story of I Can't,"1,182,610",877.67,Robert Holcroft Page,Paperback,955420504,955420504,978-0955420504,https://www.amazon.co.uk/Story-Cant-Robert-Holcroft-Page/dp/0955420504/ref=sr_1_1057?s=books&ie=UTF8&qid=1540737452&sr=1-1057&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
"Cathy Woodman Collection 3 books set. (The sweetest thing, trust me, I’m a vet & must be love)","1,188,592",801.05,No Author Specified!!,Paperback,B007QBENWW,Not available,Not available,https://www.amazon.co.uk/Cathy-Woodman-Collection-books-sweetest/dp/B007QBENWW/ref=sr_1_1034?s=books&ie=UTF8&qid=1540737414&sr=1-1034&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Dogma + Realism Working Group: Communal Villa: Production and Reproduction in Artists' Housing,"1,596,866",770.16,Christian Hiller,Paperback,3959050534,3959050534,978-3959050531,https://www.amazon.co.uk/Dogma-Realism-Working-Group-Reproduction/dp/3959050534/ref=sr_1_1011?s=books&ie=UTF8&qid=1540737396&sr=1-1011&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
"The ""Beatles"" 4-chord Songbook","445,419",814.1,No Author Specified!!,Paperback,1846098416,1846098416,978-1846098413,https://www.amazon.co.uk/The-Beatles-4-chord-Songbook/dp/1846098416/ref=sr_1_1005?s=books&ie=UTF8&qid=1540737376&sr=1-1005&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Story of the Prince of Wales : The Origin of His Ancient Titles and the Ceremonial of Investiture,"1,476,350",995.64,Patrick W. Montague-Smith,Paperback,B001EU7RYM,Not available,Not available,https://www.amazon.co.uk/Story-Prince-Wales-Ceremonial-Investiture/dp/B001EU7RYM/ref=sr_1_999?s=books&ie=UTF8&qid=1540737376&sr=1-999&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Metropolitan Railway Rolling Stock,"1,071,041",818.99,James R. Snowdon,Paperback,1874103666,1874103666,978-1874103660,https://www.amazon.co.uk/Metropolitan-Railway-Rolling-Stock-Snowdon/dp/1874103666/ref=sr_1_984?s=books&ie=UTF8&qid=1540737360&sr=1-984&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
North Devon Pottery,"1,824,989",787.99,Alison Grant,Paperback,1898546770,1898546770,978-1898546771,https://www.amazon.co.uk/North-Devon-Pottery-Alison-Grant/dp/1898546770/ref=sr_1_980?s=books&ie=UTF8&qid=1540737360&sr=1-980&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
